epoch,fase,train_loss,val_loss,train_acc,val_acc,val_f1
0,1,1.0812956902776445,0.8914165864245235,0.5104285714285715,0.617096018735363,0.3529623318253826
1,1,0.8107073124340602,1.0263503410268604,0.6553142857142857,0.5650719304115088,0.327089146488893
2,1,0.7350008508137295,0.8410130975903197,0.6904285714285714,0.6518066242890599,0.3674922130659737
3,1,0.6524902600833348,0.9092497138986373,0.7234571428571429,0.6637671462027434,0.37458641992853947
4,1,0.5683120634351458,0.8036821640652625,0.7637142857142857,0.7048343927735028,0.3940508198664141
5,1,0.523219365794318,0.8148680298760385,0.7846285714285715,0.7092673134827702,0.3998950739699694
6,1,0.5065989654881614,0.7868419716319436,0.7932571428571429,0.7113583138173302,0.4032862722709681
7,1,0.4742002588953291,0.8830326537424398,0.8080285714285714,0.682000669120107,0.38545712531205933
8,1,0.46119405064923424,0.7372469789187571,0.8133142857142858,0.7473235195717631,0.4197784045377765
9,1,0.4415771093027932,0.850776928678182,0.8224857142857143,0.7322683171629307,0.40797873224478753
10,2,0.2073881870239973,1.025143350289456,0.9212285714285714,0.7326028772164603,0.4163247322766097
11,2,0.07070515950151852,1.2049794777948433,0.9754285714285714,0.7376212780194045,0.3867989756642748
12,2,0.03918927533275315,1.172803621447994,0.9873714285714286,0.7804449648711944,0.4341955312442751
13,2,0.028645559590629168,1.2124967440796162,0.9908857142857143,0.7505018400802944,0.41265780246880823
14,2,0.020967848766222597,1.2982043238336074,0.9932857142857143,0.7530110404817665,0.4070889984448613
15,2,0.01678672843125782,1.3102299037129497,0.9943714285714286,0.7775175644028103,0.37962380732456913
16,2,0.0181685196160871,1.3291226515163208,0.9941714285714286,0.7891435262629642,0.4381044100818331
17,2,0.010914002936559596,1.6181275529013497,0.9964,0.7413014386082302,0.3795794207193947
18,2,0.015424323806246476,1.2084884773192182,0.9949142857142858,0.7913181666109067,0.4135296084873364
19,2,0.011795057803485543,1.4611721698491085,0.9964285714285714,0.7740046838407494,0.3863896045520434
20,2,0.009184027064149268,1.3614693255803227,0.9969142857142858,0.7607895617263298,0.38827244836681607
21,2,0.003216106103749813,1.3821727241067794,0.9992,0.7833723653395784,0.4063023315568422
22,2,0.0034751683716587388,1.4881820821869933,0.9988857142857143,0.7720809635329542,0.40491590316775805
23,2,0.0025047477948529247,1.655002890116656,0.9994,0.7624623619939779,0.3662073594588743
